GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC05
Id,Id2,Geography,Total; Estimate; Bachelor's degree or higher
0400000US01,01,Alabama,6.8
0400000US02,02,Alaska,7.0
0400000US04,04,Arizona,6.9
0400000US05,05,Arkansas,7.4
0400000US06,06,California,9.5
0400000US08,08,Colorado,11.2
0400000US09,09,Connecticut,14.1
0400000US10,10,Delaware,8.5
0400000US11,11,District of Columbia,23.7
0400000US12,12,Florida,8.2
0400000US13,13,Georgia,8.2
0400000US15,15,Hawaii,7.5
0400000US16,16,Idaho,5.5
0400000US17,17,Illinois,12.9
0400000US18,18,Indiana,9.0
0400000US19,19,Iowa,9.8
0400000US20,20,Kansas,10.3
0400000US21,21,Kentucky,8.4
0400000US22,22,Louisiana,7.2
0400000US23,23,Maine,10.9
0400000US24,24,Maryland,12.7
0400000US25,25,Massachusetts,17.2
0400000US26,26,Michigan,9.7
0400000US27,27,Minnesota,12.8
0400000US28,28,Mississippi,5.7
0400000US29,29,Missouri,9.2
0400000US30,30,Montana,6.7
0400000US31,31,Nebraska,10.9
0400000US32,32,Nevada,5.4
0400000US33,33,New Hampshire,12.0
0400000US34,34,New Jersey,14.4
0400000US35,35,New Mexico,5.0
0400000US36,36,New York,15.1
0400000US37,37,North Carolina,9.5
0400000US38,38,North Dakota,12.9
0400000US39,39,Ohio,9.5
0400000US40,40,Oklahoma,7.1
0400000US41,41,Oregon,7.6
0400000US42,42,Pennsylvania,12.1
0400000US44,44,Rhode Island,12.1
0400000US45,45,South Carolina,8.4
0400000US46,46,South Dakota,7.1
0400000US47,47,Tennessee,8.8
0400000US48,48,Texas,7.8
0400000US49,49,Utah,6.6
0400000US50,50,Vermont,12.7
0400000US51,51,Virginia,12.1
0400000US53,53,Washington,10.6
0400000US54,54,West Virginia,6.9
0400000US55,55,Wisconsin,10.5
0400000US56,56,Wyoming,6.6
0400000US72,72,Puerto Rico,7.6
